Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Design asset type),Custom field (Design reference),Custom field (Details),Custom field (Development),Custom field (Entitlement),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Product categorization),Custom field (Project deliverables),Custom field (Project focus),Custom field (Project milestones),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Related projects),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
field visit took measurements and pictures came back with updates and moved job into shop drawings,HT10200-279,11151,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,28/May/25 9:23 AM,28/May/25 12:11 PM,,28/May/25 12:11 PM,,0,,,,Automation for Jira,Jed Ferreras,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@63ab2584,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0016v:,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28 13:23:06.237,10135_*:*_1_*:*_10112095_*|*_10137_*:*_1_*:*_0,"28/May/25 9:23 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Work item created on 2025-05-148 13:23.

Set the correct work type from:  
• Printing  
• Research  
• Submittal  
• Shops  
• Estimate  
• Field  
• Backoffice  
• Takeoffs",,10312,HT10200-136,Metralite 320 Park Ave Flagstar Storefront,Done,28/May/25 12:11 PM
create shipping labels,HT10200-278,11132,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,27/May/25 3:04 PM,27/May/25 3:04 PM,,27/May/25 3:04 PM,,0,,,,Automation for Jira,Jed Ferreras,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c4ea8de,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0016n:,,,,,,,,,,,,,,,,,,,,,,,,2025-05-27 19:04:37.169,10135_*:*_1_*:*_5937_*|*_10137_*:*_1_*:*_0,"27/May/25 3:04 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Work item created on 2025-05-147 19:04.

Set the correct work type from:  
• Printing  
• Research  
• Submittal  
• Shops  
• Estimate  
• Field  
• Backoffice  
• Takeoffs",,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,27/May/25 3:04 PM
Print docs,HT10200-266,11120,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,printing,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a4fb4c7,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0016f:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155806701_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Research pricing,HT10200-264,11118,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,research,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3aa4038e,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0015z:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155807509_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Prep bid estimate,HT10200-262,11116,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,estimating,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2694e5bf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0015j:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155809656_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Conduct site/field visit,HT10200-260,11114,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,field,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47accfa,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00153:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155811812_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Download relevant docs,HT10200-258,11112,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,backoffice,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72955fac,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0014n:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155811830_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
General email supervisor,HT10200-256,11110,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,backoffice,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b2cdcd5,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00147:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155813863_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Prepare submittal drawing,HT10200-254,11108,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,submittal,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2763f9a7,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0013r:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155815273_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
"Meeting to discuss, review and update submittal drawing",HT10200-252,11106,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,submittal,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@123567e6,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0013b:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155816093_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Submit submittal drawing to supervisor,HT10200-251,11105,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,submittal,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32d40b83,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00133:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155816516_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
"Submitted drawing came back with comments, revise and resubmit",HT10200-250,11104,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,submittal,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@595cb27d,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0012v:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155819091_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Submitted drawing came back approved,HT10200-248,11102,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,submittal,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2abf6c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0012f:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155819381_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
"Prepare shop drawing (include BOMs, assy, weld, listings, DXF, etc)",HT10200-247,11101,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,shops,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c362f7d,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00127:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155821555_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
"Meeting to discuss, review and update shop drawing (supervisor and/or owner and production manager)",HT10200-246,11100,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,shops,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5451327d,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0011z:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155822413_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Submit shop drawing to supervisor,HT10200-245,11099,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,shops,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b66196,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0011r:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155823633_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Shop drawing released to production (send email to production managers),HT10200-244,11098,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,shops,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2653bc32,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0011j:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155825382_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
"Meeting to discuss feedback from production personnel during production about shop drawing, then update drawing and rerelease",HT10200-243,11097,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,shops,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43492141,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0011b:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155826651_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Production status is complete,HT10200-242,11096,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,production,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@79021fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00113:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_155828511_*|*_10137_*:*_1_*:*_0,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
Takeoffs,HT10200-241,11095,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,27/May/25 2:45 PM,29/May/25 10:02 AM,,29/May/25 10:02 AM,,0,takeoffs,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4293088,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0010v:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_2_*:*_1076121_*|*_10137_*:*_1_*:*_8891,,,11094,HT10200-240,Mass Merchandising JFK Foodhall labels.00,Done,29/May/25 10:02 AM
send to jamie for review and release,HT10200-239,11075,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,27/May/25 2:04 PM,27/May/25 5:00 PM,,27/May/25 5:00 PM,,0,,,,Automation for Jira,Jed Ferreras,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6006c2ba,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0010f:,,,,,,,,,,,,,,,,,,,,,,,,2025-05-27 18:04:25.752,10135_*:*_1_*:*_10542123_*|*_10137_*:*_1_*:*_0,"27/May/25 2:04 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Work item created on 2025-05-147 18:04.

Set the correct work type from:  
• Printing  
• Research  
• Submittal  
• Shops  
• Estimate  
• Field  
• Backoffice  
• Takeoffs",,10069,HT10200-142,versatile 11 madison - 1.5 tormax arm,Done,27/May/25 5:00 PM
update drawing per Jamie's feedback see comments below,HT10200-238,11056,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,27/May/25 2:03 PM,27/May/25 5:00 PM,,27/May/25 5:00 PM,,0,shops,,,Automation for Jira,Jed Ferreras,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23841c30,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00107:,,,,,,,,,,,,,,,,,,,,,,,,2025-05-27 18:03:43.207,10135_*:*_1_*:*_10580331_*|*_10137_*:*_1_*:*_0,"27/May/25 2:03 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Work item created on 2025-05-147 18:03.

Set the correct work type from:  
• Printing  
• Research  
• Submittal  
• Shops  
• Estimate  
• Field  
• Backoffice  
• Takeoffs",27/May/25 2:04 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;work type changed on 2025-05-147 18:04,10069,HT10200-142,versatile 11 madison - 1.5 tormax arm,Done,27/May/25 5:00 PM
General email supervisor,HT10200-232,11042,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,22/May/25 1:39 PM,29/May/25 9:10 AM,,29/May/25 9:10 AM,,0,backoffice,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48d93185,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000yv:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_588650634_*|*_10137_*:*_1_*:*_0,,,11029,HT10200-219,variant 575 madison ave 20th fl handrail,Done,29/May/25 9:10 AM
"Meeting to discuss, review and update submittal drawing",HT10200-230,11040,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,Automation for Jira,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,22/May/25 1:39 PM,29/May/25 9:10 AM,,29/May/25 9:10 AM,,0,submittal,,,Automation for Jira,,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1895ed85,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000yf:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_588650387_*|*_10137_*:*_1_*:*_0,,,11029,HT10200-219,variant 575 madison ave 20th fl handrail,Done,29/May/25 9:10 AM
