Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Design asset type),Custom field (Design reference),Custom field (Details),Custom field (Development),Custom field (Entitlement),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Product categorization),Custom field (Project deliverables),Custom field (Project focus),Custom field (Project milestones),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Related projects),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
prepare shop drawing,HT10200-351,11386,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,06/Jun/25 10:14 AM,06/Jun/25 10:14 AM,,06/Jun/25 10:14 AM,,0,,Jamie took over this task,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23507ef,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001mv:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_19920_*|*_10137_*:*_1_*:*_0,,,11354,HT10200-350,Hinge Door 220 E 42nd St - Header Cover,Done,06/Jun/25 10:14 AM
feedback from shop required me to prep cut list/listing style drawing - submittal drawing was released without making a shop drawing,HT10200-349,11353,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,05/Jun/25 3:52 PM,05/Jun/25 6:22 PM,,05/Jun/25 6:22 PM,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@70d29a12,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001mf:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_9012568_*|*_10137_*:*_1_*:*_0,,,11029,HT10200-219,variant 575 madison ave 20th fl handrail,Done,05/Jun/25 6:22 PM
Tomorrow 06.04.2025 theres a site visit to collect information about the interior,HT10200-348,11322,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,03/Jun/25 5:20 PM,04/Jun/25 2:47 PM,,04/Jun/25 2:47 PM,04/Jun/25 12:00 AM,0,field,,,Automation for Jira,Jed Ferreras,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,field visit;04/Jun/25 2:47 PM;2cb34d14-d754-4e38-ac33-6cab8114957a;12600,,0,12600,,,0,12600,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d62b127,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001m7:,,,,,,,,,,,04/Jun/25 12:00 AM,,,,,,,,,,,,,2025-06-04 13:45:51.318,10136_*:*_1_*:*_0_*|*_10135_*:*_1_*:*_59138095,04/Jun/25 9:45 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;work type changed on 2025-06-155 13:45,"04/Jun/25 2:27 PM;712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885;came back from field visit lots of sketches and pictures, need Jamies pictures and also need either an engineer’s internal structural detail for the entrance frame or metralite to cut a section of the steel for us. Also need to mention anything that is to be work done by others on our drawings.

I left at 1045am and returned at 212pm",10312,HT10200-136,Metralite 320 Park Ave Flagstar Storefront,Done,04/Jun/25 2:47 PM
Jamie sent an email with updates and also included cad files to be used for drawings need to discuss for next steps,HT10200-347,11321,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,03/Jun/25 5:20 PM,10/Jun/25 6:16 PM,16/Jun/25 11:28 AM,10/Jun/25 6:16 PM,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5037e3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001lz:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_608203956_*|*_10137_*:*_1_*:*_0,,,10312,HT10200-136,Metralite 320 Park Ave Flagstar Storefront,Done,10/Jun/25 6:16 PM
"Jana from Metralite sent an update with comments and revisions about the drawings we made, need to review with Jamie for next steps",HT10200-346,11320,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,03/Jun/25 5:19 PM,06/Jun/25 10:15 AM,,06/Jun/25 10:15 AM,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@142e911a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001lr:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_233799935_*|*_10137_*:*_1_*:*_0,,,10369,HT10200-123,Metralite 368 9th Ave Nuveen Parapet Railing,Done,06/Jun/25 10:15 AM
testing jira - github connection,HT10200-345,11308,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 3:45 PM,30/May/25 4:02 PM,,30/May/25 4:02 PM,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,;30/May/25 4:02 PM;2cb34d14-d754-4e38-ac33-6cab8114957a;3600,,0,3600,,,0,3600,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1140df67,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001lj:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_1042088_*|*_10137_*:*_1_*:*_0,30/May/25 3:47 PM;712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885;Added gusset plate,,10260,HT10200-139,Metralite EQT brake shape,Done,30/May/25 4:02 PM
"Received physical sample of tormax arm which has a spindle that fits into the tapered hole, need to measure and update drawings",HT10200-324,11287,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 10:06 AM,06/Jun/25 10:15 AM,,06/Jun/25 10:15 AM,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72e777c1,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001gv:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_605348852_*|*_10137_*:*_1_*:*_0,,,10069,HT10200-142,versatile 11 madison - 1.5 tormax arm,Done,06/Jun/25 10:15 AM
update drawing per Jamie's feedback,HT10200-322,11266,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,29/May/25 10:45 AM,29/May/25 11:12 AM,,29/May/25 11:12 AM,,0,,"originally the 32.0625 and 32.375 dimensions were assigned to the hypotenuse, but now theyre assigned to the base of the right triangle formed from the steps.",,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@24b8fa72,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001gf:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_1644820_*|*_10137_*:*_1_*:*_0,,,10375,HT10200-120,Metralite UBS Railings,Done,29/May/25 11:12 AM
trace dwg image and send back to jamie to submit bid,HT10200-321,11265,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,29/May/25 10:05 AM,29/May/25 1:56 PM,,29/May/25 1:56 PM,,0,submittal,"currently traced image but not to scale to prepare a visual drawing for bid discussion only, if job goes thru will need to scale in order to move forward.",,Automation for Jira,Jed Ferreras,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2959f3b9,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001g7:,,,,,,,,,,,,,,,,,,,,,,,,2025-05-29 14:07:44.206,10136_*:*_1_*:*_0_*|*_10135_*:*_1_*:*_120757,29/May/25 10:07 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;work type changed on 2025-05-149 14:07,,10591,HT10200-111,superstructures 55 stuyvesant place - bronze doors inquiry,Done,29/May/25 1:56 PM
prepare submittal drawing per field measurements,HT10200-280,11170,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,28/May/25 12:10 PM,16/Jun/25 11:38 AM,16/Jun/25 11:29 AM,13/Jun/25 1:20 PM,,0,,create new and updated drawings as per field measurements and notes and other details from Jamie,,Automation for Jira,Jed Ferreras,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f73455a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00173:,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28 16:10:56.223,10135_*:*_1_*:*_1386581662_*|*_10137_*:*_1_*:*_0,"28/May/25 12:10 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Work item created on 2025-05-148 16:10.

Set the correct work type from:  
• Printing  
• Research  
• Submittal  
• Shops  
• Estimate  
• Field  
• Backoffice  
• Takeoffs",,10312,HT10200-136,Metralite 320 Park Ave Flagstar Storefront,Done,13/Jun/25 1:20 PM
