date,weekday,time,duration,Rate (walkers/min),walkers/10 min,focus/work done,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49
6/2/2025,Monday,2:10 PM,10,0.8,8,1,,,,,,,,,,,,,3,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:20 PM,10,1.1,11,1,,,,,,,3,1,,,,,,4,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:30 PM,10,0.6,6,2,,,,,,,1,,1,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:40 PM,10,0.8,8,1,,1,,,,,2,,,1,,,1,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:50 PM,10,0.4,4,2,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,3:00 PM,10,1.5,15,0,1,,,,,,2,,1,3,,,,1,,1,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,
6/2/2025,Monday,3:10 PM,10,0.7,7,1,,,,,,,,,1,1,2,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,3:20 PM,10,0.3,3,2,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,3:30 PM,10,1.6,16,0,,,,,,,3,,,2,2,1,,,1,,2,,2,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6/2/2025,Monday,3:40 PM,10,1.4,14,1,,,,,,1,4,1,,3,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,3:50 PM,10,1.2,12,1,,,,,,,2,2,3,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,4:00 PM,10,0.7,7,2,,,,,,,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
