date,weekday,time,duration,Rate (walkers/min),walkers/10 min,Manny,Jay,Toni,Poonam,Jamie,Charley,Kamil,Naresh,Stefano,Anthony,Michael,James,Danny,Tommy,JCostanza,JTobin,Gibby,Jed,JYuan,Chris,Dwane,Dwane's Dad,Sun,Govin,Will,Paul,Robert,WindowDude,CarDude,Dude1,Dude2,Dude3,Dude4,Dude5,Dude6,Dude7,Dude8,Dude9,Dude10,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
06.02.2025,Monday,8:00 AM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,8:10 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,8:20 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,8:30 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,8:40 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,8:50 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,9:00 AM,10,3.33,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,9:10 AM,10,2,5,,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,9:20 AM,10,5,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,9:30 AM,10,2.5,4,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,9:40 AM,10,0.45,22,,,,2,,1,2,2,2,2,3,,1,,,,,1,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,9:50 AM,10,1,10,,,,,,1,2,3,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,10:00 AM,10,0.77,13,2,,,2,,2,2,,2,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,10:10 AM,10,1.11,9,,3,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,10:20 AM,10,0.5,20,1,,,,,,2,1,2,,,1,,1,1,2,,,4,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,10:30 AM,10,0.77,13,,,,,,,,,4,,3,2,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,10:40 AM,10,0.83,12,,,,,,,1,,2,,,1,,2,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,10:50 AM,10,1.25,8,,2,,,,,1,,,,1,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,11:00 AM,10,0.83,12,1,,,,,,1,,,,,,,,1,,4,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
06.02.2025,Monday,11:10 AM,10,5,2,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,11:20 AM,10,0.91,11,,,,,,,1,,,2,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,
06.02.2025,Monday,11:30 AM,10,0.59,17,,2,,,,,4,2,1,,1,,,,2,2,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,11:40 AM,10,1.67,6,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,
06.02.2025,Monday,11:50 AM,10,0.71,14,,,,1,,,2,6,1,,,,,1,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,
06.02.2025,Monday,12:00 PM,10,2.5,4,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,12:10 PM,10,0.45,22,,,,,,2,,1,,1,1,3,,,,1,1,,4,,,,,3,,,3,,,,,1,1,,,,,,,,,,,,,,,,
06.02.2025,Monday,12:20 PM,10,1,10,,,,,,2,,,4,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,
06.02.2025,Monday,12:30 PM,10,2,5,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,12:40 PM,10,2,5,,,,,,,,,1,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,12:50 PM,10,2,5,,2,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,1:00 PM,10,0.33,30,,,,,,,1,1,2,5,1,,1,,3,1,2,,,,,1,,,,,,2,,1,1,1,1,1,1,,,,,,,4,,,,,,,
06.02.2025,Monday,1:10 PM,10,1.25,8,,,,,,1,,1,2,,,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,1:20 PM,10,0.59,17,,,,,,1,1,3,5,4,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,1:30 PM,10,0.62,16,,,,,,2,2,1,,5,,2,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,1:40 PM,10,1.11,9,,2,,,,,,,,2,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,1:50 PM,10,1.11,9,,,,,,,3,,,3,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,2:00 PM,10,5,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,2:10 PM,10,1.25,8,,,,,,,,,,,,,3,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,2:20 PM,10,0.91,11,,,,,,,3,1,,,,,,4,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,2:30 PM,10,1.67,6,,,,,,,1,,1,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,2:40 PM,10,1.25,8,,1,,,,,2,,,1,,,1,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,2:50 PM,10,2.5,4,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,3:00 PM,10,0.67,15,1,,,,,,2,,1,3,,,,1,,1,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,
06.02.2025,Monday,3:10 PM,10,1.43,7,,,,,,,,,1,1,2,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,3:20 PM,10,3.33,3,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,3:30 PM,10,0.63,16,,,,,,,3,,,2,2,1,,,1,,2,,2,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
06.02.2025,Monday,3:40 PM,10,0.71,14,,,,,,1,4,1,,3,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,3:50 PM,10,0.83,12,,,,,,,2,2,3,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,4:00 PM,10,1.43,7,,,,,,,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,4:10 PM,10,1.25,8,1,,,,,,1,1,1,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,4:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,4:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,4:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,4:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,5:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,5:10 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,5:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,5:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,5:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,5:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,6:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,6:10 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,6:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2025,Monday,6:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
